Date,Start Time (Sask),Start Time (ET),Visitor,Score,Home,Score,Status,Visitor Goalie,Home Goalie,O/U,Over,Under,Away ML,Home ML,Home PL Spread,PL Away,PL Home
2025-10-17,5:00 PM,7:00 PM,Minnesota Wild,1,Washington Capitals,5,Regulation,Filip Gustavsson,Logan Thompson,5.5,-120,100,105,-125,-1.5,-245,200
2025-10-17,6:30 PM,8:30 PM,Vancouver Canucks,3,Chicago Blackhawks,2,SO,Kevin Lankinen,Spencer Knight,6,-110,-110,-125,105,1.5,185,-225
2025-10-17,7:00 PM,9:00 PM,San Jose Sharks,3,Utah Mammoth,6,Regulation,Yaroslav Askarov,Karel Vejmelka,6.5,100,-120,210,-260,-1.5,-125,105
2025-10-18,11:00 AM,1:00 PM,Florida Panthers,0,Buffalo Sabres,3,Regulation,Sergei Bobrovsky,Alex Lyon,6,-110,-110,-155,130,1.5,160,-190
2025-10-18,1:00 PM,3:00 PM,New York Islanders,5,Ottawa Senators,4,Regulation,Ilya Sorokin,Linus Ullmark,6,-110,-110,115,-135,-1.5,-220,180
2025-10-18,1:30 PM,3:30 PM,Edmonton Oilers,3,New Jersey Devils,5,Regulation,Calvin Pickard,Jake Allen,6,-115,-105,-115,-105,1.5,205,-250
2025-10-18,5:00 PM,7:00 PM,Seattle Kraken,4,Toronto Maple Leafs,3,OT,Joey Daccord,Anthony Stolarz,6,-110,-110,165,-200,-1.5,-155,130
2025-10-18,5:00 PM,7:00 PM,New York Rangers,4,Montreal Canadiens,3,Regulation,Jonathan Quick,Samuel Montembeault,6,-110,-110,110,-130,-1.5,-240,195
2025-10-18,5:00 PM,7:00 PM,Minnesota Wild,1,Philadelphia Flyers,2,OT,Jesper Wallstedt,Dan Vladar,6,-115,-105,100,-120,-1.5,-250,205
2025-10-18,5:00 PM,7:00 PM,Tampa Bay Lightning,2,Columbus Blue Jackets,3,Regulation,Jonas Johansson,Jet Greaves,6.5,-110,-110,110,-130,-1.5,-220,180
2025-10-18,5:00 PM,7:00 PM,Dallas Stars,1,St. Louis Blues,3,Regulation,Jake Oettinger,Jordan Binnington,6,-105,-115,-125,105,1.5,200,-245
2025-10-18,5:00 PM,7:00 PM,Nashville Predators,1,Winnipeg Jets,4,Regulation,Juuse Saros,Connor Hellebuyck,5.5,-105,-115,150,-180,-1.5,-170,145
2025-10-18,7:00 PM,9:00 PM,Boston Bruins,1,Colorado Avalanche,4,Regulation,Jeremy Swayman,Scott Wedgewood,6,-110,-110,210,-260,-1.5,-120,100
2025-10-18,7:00 PM,9:00 PM,Carolina Hurricanes,4,Los Angeles Kings,3,OT,Brandon Bussi,Anton Forsberg,6,-110,-110,-135,115,1.5,175,-210
2025-10-18,8:00 PM,10:00 PM,Calgary Flames,1,Vegas Golden Knights,6,Regulation,Dustin Wolf,Adin Hill,6,-115,-105,200,-245,-1.5,-125,105
2025-10-18,8:00 PM,10:00 PM,Pittsburgh Penguins,3,San Jose Sharks,0,Regulation,Tristan Jarry,Alex Nedeljkovic,6.5,-110,-110,-160,135,1.5,165,-200
2025-10-19,10:30 AM,12:30 PM,Vancouver Canucks,4,Washington Capitals,3,Regulation,Thatcher Demko,Charlie Lindgren,5.5,-120,100,135,-160,-1.5,-200,165
2025-10-19,1:00 PM,3:00 PM,Edmonton Oilers,2,Detroit Red Wings,4,Regulation,Stuart Skinner,John Gibson,6,-110,-110,-135,115,1.5,180,-220
2025-10-19,5:00 PM,7:00 PM,Anaheim Ducks,1,Chicago Blackhawks,2,OT,Lukas Dostal,Spencer Knight,6,-120,100,-130,110,1.5,185,-225
2025-10-19,5:00 PM,7:00 PM,Boston Bruins,2,Utah Mammoth,3,Regulation,Joonas Korpisalo,Vitek Vanecek,6,-105,-115,185,-225,-1.5,-140,120
